epoch,loss,accuracy,val_loss,val_accuracy,,,
0,2.399562168,0.09625,2.318222562,0.125,,,
1,2.312485905,0.11375,2.296055688,0.14409722,,,
2,2.235027323,0.18,2.204815706,0.18055555,,max = ,0.5520833
3,2.250823174,0.16,2.20087368,0.19965278,,,
4,2.156012173,0.22125,2.170069496,0.20833333,,,
5,2.11260397,0.22375,2.109350489,0.20833333,,,
6,2.035827994,0.26125,2.030192872,0.2673611,,,
7,2.013142033,0.27375,2.022869057,0.24479167,,,
8,1.96105237,0.3075,1.947056843,0.2829861,,,
9,1.959162397,0.30375,2.004900906,0.30208334,,,
10,1.946110649,0.3,1.894932422,0.3159722,,,
11,1.860310969,0.36875,1.87257319,0.3125,,,
12,1.871948938,0.34,1.887460596,0.3246528,,,
13,1.872462101,0.36,1.839536912,0.33854166,,,
14,1.841586742,0.36,1.844032394,0.328125,,,
15,1.809317398,0.37,1.802976297,0.3420139,,,
16,1.831690555,0.35,1.830950346,0.3315972,,,
17,1.75369369,0.37625,1.766981337,0.38368055,,,
18,1.736248393,0.395,1.809146722,0.3611111,,,
19,1.739643049,0.38125,1.811689324,0.3298611,,,
20,1.704014072,0.38125,1.773625334,0.33506945,,,
21,1.70104723,0.425,1.713741508,0.38194445,,,
22,1.728132553,0.38625,1.785041167,0.359375,,,
23,1.702004724,0.385,1.730756826,0.38541666,,,
24,1.695213375,0.4075,1.699482116,0.3784722,,,
25,1.636477261,0.43875,1.693845418,0.40625,,,
26,1.659644036,0.43875,1.667388313,0.4097222,,,
27,1.661322632,0.43125,1.655288511,0.41319445,,,
28,1.640912142,0.42,1.683868905,0.390625,,,
29,1.63527925,0.41625,1.652044846,0.41319445,,,
30,1.612847447,0.435,1.635099603,0.41493055,,,
31,1.579438872,0.47,1.610372033,0.4357639,,,
32,1.568646078,0.45375,1.627820194,0.43229166,,,
33,1.529297843,0.44875,1.602477094,0.4184028,,,
34,1.55012465,0.4775,1.581972374,0.4652778,,,
35,1.503967705,0.49375,1.623755733,0.4236111,,,
36,1.530111842,0.45625,1.647390551,0.4079861,,,
37,1.502424436,0.495,1.600356672,0.4392361,,,
38,1.52678267,0.46375,1.589863433,0.4392361,,,
39,1.516825752,0.4825,1.587139633,0.40625,,,
40,1.498798852,0.48125,1.579825401,0.4565972,,,
41,1.437340927,0.50875,1.581312497,0.453125,,,
42,1.51692224,0.46,1.547709068,0.44791666,,,
43,1.506737266,0.50875,1.60037958,0.44791666,,,
44,1.473678894,0.48625,1.560136894,0.46006945,,,
45,1.459468169,0.50125,1.544184215,0.44618055,,,
46,1.462334981,0.49,1.533642782,0.44444445,,,
47,1.484315724,0.4625,1.5578003,0.43055555,,,
48,1.411999989,0.5225,1.494337625,0.46875,,,
49,1.483035493,0.49125,1.537960443,0.46354166,,,
50,1.461162953,0.49875,1.517639101,0.4826389,,,
51,1.432339082,0.52,1.495257874,0.5104167,,,
52,1.373448243,0.52875,1.527883768,0.47916666,,,
53,1.452779222,0.49875,1.509695894,0.44270834,,,
54,1.359433727,0.545,1.495886849,0.5034722,,,
55,1.359822736,0.52125,1.478983177,0.49131945,,,
56,1.384730291,0.50625,1.470908013,0.5104167,,,
57,1.355427027,0.54625,1.538784027,0.46875,,,
58,1.47646677,0.49,1.487873819,0.4861111,,,
59,1.376672873,0.515,1.465277135,0.48958334,,,
60,1.323591743,0.54125,1.509932796,0.45833334,,,
61,1.347041874,0.54625,1.525292834,0.47743055,,,
62,1.437913337,0.50375,1.46768162,0.48958334,,,
63,1.425831327,0.50375,1.458951354,0.5017361,,,
64,1.361536813,0.52625,1.441504624,0.49131945,,,
65,1.3300418,0.54625,1.494065589,0.46875,,,
66,1.33238421,0.52625,1.437188182,0.4965278,,,
67,1.359096241,0.52875,1.428979052,0.5173611,,,
68,1.308806858,0.55875,1.472045561,0.4826389,,,
69,1.321676507,0.55875,1.449903541,0.5121528,,,
70,1.276067808,0.5775,1.448312044,0.5121528,,,
71,1.353151879,0.54,1.424953924,0.5173611,,,
72,1.29275569,0.545,1.47743945,0.4861111,,,
73,1.317545567,0.56875,1.431029061,0.5052083,,,
74,1.334015608,0.54,1.47377746,0.47916666,,,
75,1.269116478,0.5625,1.439306531,0.5017361,,,
76,1.289031625,0.5875,1.421598878,0.5260417,,,
77,1.291948829,0.55375,1.486287249,0.4809028,,,
78,1.290577166,0.55625,1.426967965,0.5052083,,,
79,1.2998985,0.55375,1.442327725,0.4965278,,,
80,1.308085241,0.545,1.40141048,0.5347222,,,
81,1.321773112,0.545,1.42674611,0.53125,,,
82,1.300521107,0.55875,1.379840586,0.5347222,,,
83,1.364854527,0.555,1.406202263,0.5225694,,,
84,1.280995002,0.56375,1.416113032,0.5347222,,,
85,1.287980227,0.58375,1.431922906,0.5086806,,,
86,1.253983994,0.57375,1.392376019,0.5295139,,,
87,1.298988032,0.5575,1.416228818,0.5381944,,,
88,1.195650318,0.61125,1.383811918,0.546875,,,
89,1.280640898,0.555,1.414833811,0.5190972,,,
90,1.224858217,0.59625,1.398852037,0.5329861,,,
91,1.22727746,0.5725,1.376994544,0.5486111,,,
92,1.262394145,0.55875,1.416389068,0.5434028,,,
93,1.339042301,0.52375,1.378899104,0.5520833,,,
94,1.222377546,0.58625,1.379153901,0.5295139,,,
95,1.309941587,0.57,1.383294715,0.53125,,,
96,1.255056605,0.5725,1.39008369,0.5399306,,,
97,1.27525317,0.5775,1.394990179,0.5381944,,,
98,1.315220969,0.56875,1.37219937,0.5173611,,,
99,1.211412385,0.595,1.406470365,0.5104167,,,
