epoch,loss,accuracy,val_loss,val_accuracy,,
0,2.419156904,0.12125,2.233182523,0.13368055,,
1,2.206842299,0.17625,2.081581467,0.25520834,,
2,2.058375969,0.2325,2.072733204,0.19791667,,
3,1.956675162,0.2775,1.9125719,0.3142361,,0.5208333
4,1.946062269,0.275,1.897525297,0.3090278,,
5,1.826728992,0.32625,1.788941536,0.34895834,,
6,1.777354307,0.36,1.777033263,0.3871528,,
7,1.778996091,0.36375,1.737547768,0.3559028,,
8,1.759901128,0.375,1.769101448,0.375,,
9,1.734584494,0.38625,1.701564656,0.3611111,,
10,1.681801853,0.4175,1.700343774,0.36979166,,
11,1.682315998,0.39625,1.651569658,0.40625,,
12,1.645928431,0.4225,1.640135858,0.4027778,,
13,1.671072969,0.395,1.668897,0.4045139,,
14,1.629554095,0.42375,1.630672594,0.4201389,,
15,1.621288757,0.41,1.623366833,0.4097222,,
16,1.591359525,0.45125,1.71003598,0.3923611,,
17,1.599860482,0.445,1.753181636,0.3628472,,
18,1.528861246,0.485,1.575578935,0.4357639,,
19,1.555140715,0.46875,1.569666253,0.44618055,,
20,1.546648793,0.48,1.589566304,0.42881945,,
21,1.556355867,0.48375,1.558961418,0.4253472,,
22,1.567541018,0.4625,1.568076524,0.43229166,,
23,1.564586549,0.44125,1.583306611,0.4236111,,
24,1.525185313,0.47375,1.551989701,0.44791666,,
25,1.497302532,0.4775,1.545904968,0.4392361,,
26,1.49967762,0.4775,1.536955761,0.4513889,,
27,1.508830814,0.46875,1.591177808,0.43055555,,
28,1.541479716,0.47125,1.559416831,0.4375,,
29,1.487917428,0.50625,1.531635596,0.4357639,,
30,1.481647973,0.5075,1.562094192,0.4340278,,
31,1.453623242,0.48,1.525219116,0.4253472,,
32,1.483490715,0.49625,1.59636475,0.4201389,,
33,1.409860468,0.51875,1.522650778,0.46180555,,
34,1.45397758,0.49625,1.62630258,0.4027778,,
35,1.359989634,0.55375,1.6223396,0.41493055,,
36,1.419074616,0.51125,1.510727975,0.453125,,
37,1.434787002,0.51625,1.490321729,0.4652778,,
38,1.396665568,0.51625,1.508959697,0.46354166,,
39,1.384400768,0.5325,1.477377825,0.44791666,,
40,1.433962221,0.51,1.498024729,0.44791666,,
41,1.438772359,0.49875,1.539130284,0.4409722,,
42,1.401456635,0.49375,1.47126527,0.45833334,,
43,1.473336167,0.49625,1.477556527,0.4878472,,
44,1.343717093,0.53,1.499248829,0.4496528,,
45,1.343982143,0.55875,1.524718602,0.4496528,,
46,1.403288846,0.52125,1.548011694,0.44618055,,
47,1.397781239,0.52125,1.483545979,0.4704861,,
48,1.366802363,0.5175,1.482166489,0.4548611,,
49,1.392286315,0.51875,1.468735649,0.48958334,,
50,1.300130682,0.56375,1.452295178,0.4652778,,
51,1.320069084,0.55875,1.489125636,0.4548611,,
52,1.348125334,0.53625,1.458137506,0.4878472,,
53,1.372906342,0.51625,1.493191885,0.4548611,,
54,1.341915765,0.53625,1.485068738,0.47916666,,
55,1.341875124,0.54125,1.460044735,0.46006945,,
56,1.331864681,0.55125,1.431809134,0.4670139,,
57,1.378062835,0.525,1.485775729,0.46006945,,
58,1.352151074,0.53125,1.500020391,0.46354166,,
59,1.342548604,0.52875,1.438440945,0.47916666,,
60,1.295302715,0.54625,1.449989571,0.46875,,
61,1.346978812,0.5325,1.472581791,0.4722222,,
62,1.287957511,0.5625,1.513621847,0.44791666,,
63,1.318321123,0.55625,1.454218242,0.49131945,,
64,1.279386802,0.5575,1.42467061,0.5069444,,
65,1.299260931,0.53375,1.425643451,0.49479166,,
66,1.346158371,0.53125,1.47668465,0.4704861,,
67,1.271481452,0.5825,1.438011189,0.47916666,,
68,1.264959445,0.57,1.491808044,0.4704861,,
69,1.372073646,0.55375,1.446548455,0.47743055,,
70,1.282970896,0.57125,1.437362048,0.47395834,,
71,1.32023602,0.55125,1.43266462,0.4965278,,
72,1.289420807,0.5475,1.459707293,0.4878472,,
73,1.279780936,0.58,1.438130412,0.4826389,,
74,1.279900331,0.56375,1.448580901,0.47569445,,
75,1.268647504,0.55125,1.46669562,0.47743055,,
76,1.273642414,0.55875,1.492107405,0.47395834,,
77,1.276093102,0.5625,1.402690868,0.5034722,,
78,1.287938313,0.55,1.438215448,0.4878472,,
79,1.310819306,0.57125,1.445604457,0.49131945,,
80,1.26091795,0.56625,1.436337709,0.4722222,,
81,1.256145864,0.5475,1.410192695,0.4878472,,
82,1.233742132,0.5875,1.403043111,0.4878472,,
83,1.231572738,0.58875,1.418117914,0.5069444,,
84,1.236403677,0.57375,1.421780997,0.48958334,,
85,1.24146183,0.58875,1.390698519,0.5017361,,
86,1.259187071,0.5775,1.381454666,0.5034722,,
87,1.241307971,0.57875,1.42423239,0.4982639,,
88,1.210096149,0.59125,1.44098368,0.47743055,,
89,1.23510983,0.56625,1.414182444,0.5017361,,
90,1.23546874,0.58625,1.428782788,0.4809028,,
91,1.269464498,0.56125,1.379577802,0.5034722,,
92,1.274383373,0.57,1.421198944,0.47743055,,
93,1.22069649,0.58625,1.448808988,0.4826389,,
94,1.252294979,0.5625,1.445781959,0.484375,,
95,1.191363618,0.60625,1.406657822,0.515625,,
96,1.219925239,0.60125,1.40167037,0.49479166,,
97,1.210557365,0.5975,1.373751773,0.5208333,,
98,1.217737517,0.59125,1.412877321,0.4982639,,
99,1.253836517,0.5675,1.379777398,0.49305555,,
